the_nation,http://www.nation.co.ke/latestrss.rss,local,,
the_standard_headlines,http://www.standardmedia.co.ke/rss/headlines.php,local,,
the_standard_kenya,http://www.standardmedia.co.ke/rss/kenya.php,local,,
the_standard_politics,http://www.standardmedia.co.ke/rss/politics.php,local,,
the_standard_business,http://www.standardmedia.co.ke/rss/business.php,local,,
the_daily_star,http://www.the-star.co.ke/taxonomy/term/all/rss.xml,local,,
the_east_african,http://www.theeastafrican.co.ke/news/-/2558/2558/-/view/asFeed/-/136vofr/-/index.xml,local,,
the_people,http://feeds.news24.com/articles/kenya/National/rss,local,,
all_africa_kenya,http://allafrica.com/tools/headlines/rdf/kenya/headlines.rdf,wire,,
news24_kenya,http://feeds.news24.com/articles/kenya/National/rss,wire,,
